"BGSJOB"
"686700"
"X02580"
"688040"
"667960"
"574880"
"532070"
"146300"
"149920"
"149630"
"685380"
"689890"
"J2901A"
"J2891A"
"J1021A"
"684990"
"689350"
"687880"
"47642A"
"688080"
"509890"
"684800"
"J40380"
"J33680"
"151270"
"J2740A"
"J33630"
"689670"
"672880"
"505260"
"505270"
"929040"
"531830"
"693210"
"511550"
"528560"
"530150"
"693100"
"J2729A"
"946750"
"689850"
"148850"
"666880"
"J39440"
"689410"
"514950"
"513690"
"150220"
"685810"
"683560"
"512060"
"68556B"
"685650"
"512450"
"51985E"
"688630"
"693080"
"68397A"
"691060"
"J4734A"
"146640"
"J2908A"
"690610"
"146840"
"J33730"
"685540"
"J46570"
"683530"
"146340"
"J4716A"
"689870"
"688240"
"527620"
"50636B"
"148080"
"528170"
"526530"
"J46420"
"J46370"
"51985A"
"685460"
"685530"
"148100"
"J38030"
"691050"
"J46460"
"15110A"
"509690"
"526640"
"691040"
"683840"
"J39560"
"J39540"
"J39400"
"15067B"
"J39520"
"530340"
"515010"
"X02650"
"511620"
"J4572A"
"J4080A"
"J40540"
"678390"
"530250"
"515430"
"672770"
"531530"
"672730"
"J22260"
"J46180"
"J46200"
"684700"
"532180"
"149550"
"Z12420"
"672800"
"J2852A"
"150840"
"151810"
"693240"
"688310"
"150140"
"680480"
"150170"
"150310"
"150160"
"149350"
"150880"
"688180"
"150510"
"150260"
"150340"
"510150"
"515630"
"514910"
"J47610"
"688110"
"514410"
"513700"
"514420"
"512050"
"J47570"
"512380"
"513710"
"511700"
"511160"
"J2261A"
"511660"
"J40610"
"511060"
"512720"
"688440"
"511630"
"511770"
"X02680"
"J2930A"
"J2242A"
"513260"
"J2238A"
"J33660"
"515640"
"532290"
"515680"
"J33590"
"J4764A"
"J39220"
"150370"
"690180"
"690340"
"J46970"
"J33560"
"691020"
"J39330"
"J39160"
"690430"
"53023A"
"531260"
"690360"
"684520"
"51996B"
"52979A"
"527170"
"529690"
"528180"
"529060"
"687070"
"694110"
"530140"
"J46800"
"525500"
"685400"
"530320"
"530990"
"529760"
"511360"
"511420"
"151950"
"696260"
"511450"
"151610"
"X02770"
"527920"
"147620"
"515050"
"687870"
